,id,firstname,surname,born,died,bornCountry,bornCountryCode,bornCity,diedCountry,diedCountryCode,diedCity,gender,year,category,overallMotivation,share,motivation,name,city,country,age,anglosphere,gender_binary
160,154,William D.,Phillips,1948-11-05,,USA,US,"Wilkes-Barre, PA",,,,male,1997.0,physics,,3.0,"""for development of methods to cool and trap atoms with laser light""",National Institute of Standards and Technology,"Gaithersburg, MD",USA,49,1,1
161,155,Robert B.,Laughlin,1950-11-01,,USA,US,"Visalia, CA",,,,male,1998.0,physics,,3.0,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",Stanford University,"Stanford, CA",USA,48,1,1
162,156,Horst L.,Störmer,1949-04-06,,West Germany (now Germany),DE,Frankfurt-on-the-Main,,,,male,1998.0,physics,,3.0,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",Columbia University,"New York, NY",USA,49,0,1
163,157,Daniel C.,Tsui,1939-02-28,,China,CN,Henan,,,,male,1998.0,physics,,3.0,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",Princeton University,"Princeton, NJ",USA,59,0,1
164,158,Gerardus,'t Hooft,1946-07-05,,the Netherlands,NL,Den Helder,,,,male,1999.0,physics,,2.0,"""for elucidating the quantum structure of electroweak interactions in physics""",Utrecht University,Utrecht,the Netherlands,53,0,1
165,159,Martinus J.G.,Veltman,1931-06-27,,the Netherlands,NL,Waalwijk,,,,male,1999.0,physics,,2.0,"""for elucidating the quantum structure of electroweak interactions in physics""",,Bilthoven,the Netherlands,68,0,1
166,160,Jacobus Henricus,van 't Hoff,1852-08-30,1911-03-01,the Netherlands,NL,Rotterdam,Germany,DE,Berlin,male,1901.0,chemistry,,1.0,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions""",Berlin University,Berlin,Germany,49,0,1
167,161,Hermann Emil,Fischer,1852-10-09,1919-07-15,Prussia (now Germany),DE,Euskirchen,Germany,DE,Berlin,male,1902.0,chemistry,,1.0,"""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses""",Berlin University,Berlin,Germany,50,0,1
168,162,Svante August,Arrhenius,1859-02-19,1927-10-02,Sweden,SE,Vik,Sweden,SE,Stockholm,male,1903.0,chemistry,,1.0,"""in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation""",Stockholm University,Stockholm,Sweden,44,0,1
169,163,Sir William,Ramsay,1852-10-02,1916-07-23,Scotland,GB,Glasgow,United Kingdom,GB,High Wycombe,male,1904.0,chemistry,,1.0,"""in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system""",University College,London,United Kingdom,52,1,1
170,164,Johann Friedrich Wilhelm Adolf,von Baeyer,1835-10-31,1917-08-20,Prussia (now Germany),DE,Berlin,Germany,DE,Starnberg,male,1905.0,chemistry,,1.0,"""in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds""",Munich University,Munich,Germany,70,0,1
171,165,Henri,Moissan,1852-09-28,1907-02-20,France,FR,Paris,France,FR,Paris,male,1906.0,chemistry,,1.0,"""in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him""",Sorbonne University,Paris,France,54,0,1
172,166,Eduard,Buchner,1860-05-20,1917-08-13,Bavaria (now Germany),DE,Munich,Romania,RO,Focsani,male,1907.0,chemistry,,1.0,"""for his biochemical researches and his discovery of cell-free fermentation""",Landwirtschaftliche Hochschule (Agricultural College),Berlin,Germany,47,0,1
173,167,Ernest,Rutherford,1871-08-30,1937-10-19,New Zealand,NZ,Nelson,United Kingdom,GB,Cambridge,male,1908.0,chemistry,,1.0,"""for his investigations into the disintegration of the elements, and the chemistry of radioactive substances""",Victoria University,Manchester,United Kingdom,37,1,1
174,168,Wilhelm,Ostwald,1853-09-02,1932-04-04,Russian Empire (now Latvia),LV,Riga,Germany,DE,Leipzig,male,1909.0,chemistry,,1.0,"""in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction""",Leipzig University,Leipzig,Germany,56,0,1
175,169,Otto,Wallach,1847-03-27,1931-02-26,Germany (now Russia),RU,Koenigsberg (now Kaliningrad),Germany,DE,Göttingen,male,1910.0,chemistry,,1.0,"""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds""",Goettingen University,Göttingen,Germany,63,0,1
176,172,Victor,Grignard,1871-05-06,1935-12-13,France,FR,Cherbourg,France,FR,Lyon,male,1912.0,chemistry,,2.0,"""for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry""",Nancy University,Nancy,France,41,0,1
177,173,Paul,Sabatier,1854-11-05,1941-08-14,France,FR,Carcassonne,France,FR,Toulouse,male,1912.0,chemistry,,2.0,"""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years""",Toulouse University,Toulouse,France,58,0,1
178,174,Alfred,Werner,1866-12-12,1919-11-15,France,FR,Mulhouse,Switzerland,CH,Zurich,male,1913.0,chemistry,,1.0,"""in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry""",University of Zurich,Zurich,Switzerland,47,0,1
179,175,Theodore William,Richards,1868-01-31,1928-04-02,USA,US,"Germantown, PA",USA,US,"Cambridge, MA",male,1914.0,chemistry,,1.0,"""in recognition of his accurate determinations of the atomic weight of a large number of chemical elements""",Harvard University,"Cambridge, MA",USA,46,1,1
180,176,Richard Martin,Willstätter,1872-08-13,1942-08-03,Germany,DE,Karlsruhe,Switzerland,CH,Locarno,male,1915.0,chemistry,,1.0,"""for his researches on plant pigments, especially chlorophyll""",Munich University,Munich,Germany,43,0,1
181,177,Fritz,Haber,1868-12-09,1934-01-29,Prussia (now Poland),PL,Breslau (now Wroclaw),Switzerland,CH,Basel,male,1918.0,chemistry,,1.0,"""for the synthesis of ammonia from its elements""",Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Berlin-Dahlem,Germany,50,0,1
182,178,Walther Hermann,Nernst,1864-06-25,1941-11-18,Prussia (now Germany),DE,Briesen,Germany,DE,Muskau,male,1920.0,chemistry,,1.0,"""in recognition of his work in thermochemistry""",Berlin University,Berlin,Germany,56,0,1
183,179,Frederick,Soddy,1877-09-02,1956-09-22,United Kingdom,GB,Eastbourne,United Kingdom,GB,Brighton,male,1921.0,chemistry,,1.0,"""for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes""",University of Oxford,Oxford,United Kingdom,44,1,1
184,180,Francis William,Aston,1877-09-01,1945-11-20,United Kingdom,GB,Harborne,United Kingdom,GB,Cambridge,male,1922.0,chemistry,,1.0,"""for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule""",University of Cambridge,Cambridge,United Kingdom,45,1,1
185,181,Fritz,Pregl,1869-09-03,1930-12-13,Austria-Hungary (now Slovenia),SI,Laibach (now Ljubljana),Austria,AT,Graz,male,1923.0,chemistry,,1.0,"""for his invention of the method of micro-analysis of organic substances""",Graz University,Graz,Austria,54,0,1
186,182,Richard Adolf,Zsigmondy,1865-04-01,1929-09-24,Austrian Empire (now Austria),AT,Vienna,Germany,DE,Göttingen,male,1925.0,chemistry,,1.0,"""for his demonstration of the heterogenous nature of colloid solutions and for the methods he used, which have since become fundamental in modern colloid chemistry""",Goettingen University,Göttingen,Germany,60,0,1
187,183,The (Theodor),Svedberg,1884-08-30,1971-02-25,Sweden,SE,Fleräng,Sweden,SE,Örebro,male,1926.0,chemistry,,1.0,"""for his work on disperse systems""",Uppsala University,Uppsala,Sweden,42,0,1
188,184,Heinrich Otto,Wieland,1877-06-04,1957-08-05,Germany,DE,Pforzheim,West Germany (now Germany),DE,Munich,male,1927.0,chemistry,,1.0,"""for his investigations of the constitution of the bile acids and related substances""",Munich University,Munich,Germany,50,0,1
189,185,Adolf Otto Reinhold,Windaus,1876-12-25,1959-06-09,Germany,DE,Berlin,West Germany (now Germany),DE,Göttingen,male,1928.0,chemistry,,1.0,"""for the services rendered through his research into the constitution of the sterols and their connection with the vitamins""",Goettingen University,Göttingen,Germany,52,0,1
190,186,Arthur,Harden,1865-10-12,1940-06-17,United Kingdom,GB,Manchester,United Kingdom,GB,Bourne,male,1929.0,chemistry,,2.0,"""for their investigations on the fermentation of sugar and fermentative enzymes""",London University,London,United Kingdom,64,1,1
191,187,Hans Karl August Simon,von Euler-Chelpin,1873-02-15,1964-11-06,Germany,DE,Augsburg,Sweden,SE,Stockholm,male,1929.0,chemistry,,2.0,"""for their investigations on the fermentation of sugar and fermentative enzymes""",Stockholm University,Stockholm,Sweden,56,0,1
192,188,Hans,Fischer,1881-07-27,1945-03-31,Germany,DE,Hoechst,Germany,DE,Munich,male,1930.0,chemistry,,1.0,"""for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin""",Technische Hochschule (Institute of Technology),Munich,Germany,49,0,1
193,189,Carl,Bosch,1874-08-27,1940-04-26,Germany,DE,Cologne,Germany,DE,Heidelberg,male,1931.0,chemistry,,2.0,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",University of Heidelberg,Heidelberg,Germany,57,0,1
194,189,Carl,Bosch,1874-08-27,1940-04-26,Germany,DE,Cologne,Germany,DE,Heidelberg,male,1931.0,chemistry,,2.0,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",I.G. Farbenindustrie A.G.,Heidelberg,Germany,57,0,1
195,190,Friedrich,Bergius,1884-10-11,1949-03-30,Germany (now Poland),PL,"Goldschmieden, near Breslau",Argentina,AR,Buenos Aires,male,1931.0,chemistry,,2.0,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",University of Heidelberg,Heidelberg,Germany,47,0,1
196,190,Friedrich,Bergius,1884-10-11,1949-03-30,Germany (now Poland),PL,"Goldschmieden, near Breslau",Argentina,AR,Buenos Aires,male,1931.0,chemistry,,2.0,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",I.G. Farbenindustrie A.G.,Mannheim-Rheinau,Germany,47,0,1
197,191,Irving,Langmuir,1881-01-31,1957-08-16,USA,US,"Brooklyn, NY",USA,US,"Falmouth, MA",male,1932.0,chemistry,,1.0,"""for his discoveries and investigations in surface chemistry""",General Electric Company,"Schenectady, NY",USA,51,1,1
198,192,Harold Clayton,Urey,1893-04-29,1981-01-05,USA,US,"Walkerton, IN",USA,US,"La Jolla, CA",male,1934.0,chemistry,,1.0,"""for his discovery of heavy hydrogen""",Columbia University,"New York, NY",USA,41,1,1
199,193,Frédéric,Joliot,1900-03-19,1958-08-14,France,FR,Paris,France,FR,Paris,male,1935.0,chemistry,,2.0,"""in recognition of their synthesis of new radioactive elements""",Institut du Radium,Paris,France,35,0,1
200,194,Irène,Joliot-Curie,1897-09-12,1956-03-17,France,FR,Paris,France,FR,Paris,female,1935.0,chemistry,,2.0,"""in recognition of their synthesis of new radioactive elements""",Institut du Radium,Paris,France,38,0,0
201,195,Petrus (Peter) Josephus Wilhelmus,Debye,1884-03-24,1966-11-02,the Netherlands,NL,Maastricht,USA,US,"Ithaca, NY",male,1936.0,chemistry,,1.0,"""for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases""",Berlin University,Berlin,Germany,52,0,1
202,195,Petrus (Peter) Josephus Wilhelmus,Debye,1884-03-24,1966-11-02,the Netherlands,NL,Maastricht,USA,US,"Ithaca, NY",male,1936.0,chemistry,,1.0,"""for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases""",Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Berlin,Germany,52,0,1
203,196,Walter Norman,Haworth,1883-03-19,1950-03-19,United Kingdom,GB,Chorley,United Kingdom,GB,Birmingham,male,1937.0,chemistry,,2.0,"""for his investigations on carbohydrates and vitamin C""",Birmingham University,Birmingham,United Kingdom,54,1,1
204,197,Paul,Karrer,1889-04-21,1971-06-18,Russia,RU,Moscow,Switzerland,CH,Zurich,male,1937.0,chemistry,,2.0,"""for his investigations on carotenoids, flavins and vitamins A and B2""",University of Zurich,Zurich,Switzerland,48,0,1
205,198,Richard,Kuhn,1900-12-03,1967-07-31,Austria-Hungary (now Austria),AT,Vienna,West Germany (now Germany),DE,Heidelberg,male,1938.0,chemistry,,1.0,"""for his work on carotenoids and vitamins""",Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Medizinische Forschung,Heidelberg,Germany,38,0,1
206,198,Richard,Kuhn,1900-12-03,1967-07-31,Austria-Hungary (now Austria),AT,Vienna,West Germany (now Germany),DE,Heidelberg,male,1938.0,chemistry,,1.0,"""for his work on carotenoids and vitamins""",University of Heidelberg,Heidelberg,Germany,38,0,1
207,199,Adolf Friedrich Johann,Butenandt,1903-03-24,1995-01-18,Germany,DE,Bremerhaven-Lehe,Germany,DE,Munich,male,1939.0,chemistry,,2.0,"""for his work on sex hormones""",Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,Berlin-Dahlem,Germany,36,0,1
208,199,Adolf Friedrich Johann,Butenandt,1903-03-24,1995-01-18,Germany,DE,Bremerhaven-Lehe,Germany,DE,Munich,male,1939.0,chemistry,,2.0,"""for his work on sex hormones""",Berlin University,Berlin,Germany,36,0,1
209,200,Leopold,Ruzicka,1887-09-13,1976-09-26,Austria-Hungary (now Croatia),HR,Vukovar,Switzerland,CH,Zurich,male,1939.0,chemistry,,2.0,"""for his work on polymethylenes and higher terpenes""",Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,52,0,1
210,201,George,de Hevesy,1885-08-01,1966-07-05,Austria-Hungary (now Hungary),HU,Budapest,West Germany (now Germany),DE,Freiburg im Breisgau,male,1943.0,chemistry,,1.0,"""for his work on the use of isotopes as tracers in the study of chemical processes""",Stockholm University,Stockholm,Sweden,58,0,1
211,202,Otto,Hahn,1879-03-08,1968-07-28,Germany,DE,Frankfurt-on-the-Main,West Germany (now Germany),DE,Göttingen,male,1944.0,chemistry,,1.0,"""for his discovery of the fission of heavy nuclei""",Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie,Berlin-Dahlem,Germany,65,0,1
212,203,Artturi Ilmari,Virtanen,1895-01-15,1973-11-11,Russian Empire (now Finland),FI,Helsinki,Finland,FI,Helsinki,male,1945.0,chemistry,,1.0,"""for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method""",University of Helsinki,Helsinki,Finland,50,0,1
213,204,James Batcheller,Sumner,1887-11-19,1955-08-12,USA,US,"Canton, MA",USA,US,"Buffalo, NY",male,1946.0,chemistry,,2.0,"""for his discovery that enzymes can be crystallized""",Cornell University,"Ithaca, NY",USA,59,1,1
214,205,John Howard,Northrop,1891-07-05,1987-05-27,USA,US,"Yonkers, NY",USA,US,"Wickenberg, AZ",male,1946.0,chemistry,,4.0,"""for their preparation of enzymes and virus proteins in a pure form""",Rockefeller Institute for Medical Research,"Princeton, NJ",USA,55,1,1
215,206,Wendell Meredith,Stanley,1904-08-16,1971-06-15,USA,US,"Ridgeville, IN",Spain,ES,Salamanca,male,1946.0,chemistry,,4.0,"""for their preparation of enzymes and virus proteins in a pure form""",Rockefeller Institute for Medical Research,"Princeton, NJ",USA,42,1,1
216,207,Sir Robert,Robinson,1886-09-13,1975-02-08,United Kingdom,GB,"Rufford, near Chesterfield",United Kingdom,GB,Great Missenden,male,1947.0,chemistry,,1.0,"""for his investigations on plant products of biological importance, especially the alkaloids""",University of Oxford,Oxford,United Kingdom,61,1,1
217,208,Arne Wilhelm Kaurin,Tiselius,1902-08-10,1971-10-29,Sweden,SE,Stockholm,Sweden,SE,Uppsala,male,1948.0,chemistry,,1.0,"""for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins""",Uppsala University,Uppsala,Sweden,46,0,1
218,209,William Francis,Giauque,1895-05-12,1982-03-28,Canada,CA,Niagara Falls,USA,US,"Berkeley, CA",male,1949.0,chemistry,,1.0,"""for his contributions in the field of chemical thermodynamics, particularly concerning the behaviour of substances at extremely low temperatures""",University of California,"Berkeley, CA",USA,54,1,1
219,210,Otto Paul Hermann,Diels,1876-01-23,1954-03-07,Germany,DE,Hamburg,West Germany (now Germany),DE,Kiel,male,1950.0,chemistry,,2.0,"""for their discovery and development of the diene synthesis""",Kiel University,Kiel,Federal Republic of Germany,74,0,1
220,211,Kurt,Alder,1902-07-10,1958-06-20,Prussia (now Poland),PL,Königshütte (now Chorzów),West Germany (now Germany),DE,Cologne,male,1950.0,chemistry,,2.0,"""for their discovery and development of the diene synthesis""",Cologne University,Cologne,Federal Republic of Germany,48,0,1
221,212,Edwin Mattison,McMillan,1907-09-18,1991-09-07,USA,US,"Redondo Beach, CA",USA,US,"El Cerrito, CA",male,1951.0,chemistry,,2.0,"""for their discoveries in the chemistry of the transuranium elements""",University of California,"Berkeley, CA",USA,44,1,1
222,213,Glenn Theodore,Seaborg,1912-04-19,1999-02-25,USA,US,"Ishpeming, MI",USA,US,"Lafayette, CA",male,1951.0,chemistry,,2.0,"""for their discoveries in the chemistry of the transuranium elements""",University of California,"Berkeley, CA",USA,39,1,1
223,214,Archer John Porter,Martin,1910-03-01,2002-07-28,United Kingdom,GB,London,United Kingdom,GB,Llangarron,male,1952.0,chemistry,,2.0,"""for their invention of partition chromatography""",National Institute for Medical Research,London,United Kingdom,42,1,1
224,215,Richard Laurence Millington,Synge,1914-10-28,1994-08-18,United Kingdom,GB,Liverpool,United Kingdom,GB,Norwich,male,1952.0,chemistry,,2.0,"""for their invention of partition chromatography""",Rowett Research Institute,Bucksburn (Scotland),United Kingdom,38,1,1
225,216,Hermann,Staudinger,1881-03-23,1965-09-08,Germany,DE,Worms,West Germany (now Germany),DE,Freiburg im Breisgau,male,1953.0,chemistry,,1.0,"""for his discoveries in the field of macromolecular chemistry""",University of Freiburg,Breisgau,Federal Republic of Germany,72,0,1
226,216,Hermann,Staudinger,1881-03-23,1965-09-08,Germany,DE,Worms,West Germany (now Germany),DE,Freiburg im Breisgau,male,1953.0,chemistry,,1.0,"""for his discoveries in the field of macromolecular chemistry""","Staatliches Institut für makromolekulare Chemie (State Research Institute for Macromolecular Chemistry), Freiburg",Breisgau,Federal Republic of Germany,72,0,1
227,217,Linus Carl,Pauling,1901-02-28,1994-08-19,USA,US,"Portland, OR",USA,US,"Big Sur, CA",male,1954.0,chemistry,,1.0,"""for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances""",California Institute of Technology (Caltech),"Pasadena, CA",USA,53,1,1
228,217,Linus Carl,Pauling,1901-02-28,1994-08-19,USA,US,"Portland, OR",USA,US,"Big Sur, CA",male,1962.0,peace,,1.0,,California Institute of Technology (Caltech),"Pasadena, CA",USA,61,1,1
229,218,Vincent,du Vigneaud,1901-05-18,1978-12-11,USA,US,"Chicago, IL",USA,US,"White Plains, NY",male,1955.0,chemistry,,1.0,"""for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone""",Cornell University,"Ithaca, NY",USA,54,1,1
230,219,Sir Cyril Norman,Hinshelwood,1897-05-19,1967-10-09,United Kingdom,GB,London,United Kingdom,GB,London,male,1956.0,chemistry,,2.0,"""for their researches into the mechanism of chemical reactions""",University of Oxford,Oxford,United Kingdom,59,1,1
231,220,Nikolay Nikolaevich,Semenov,1896-04-03,1986-09-25,Russia,RU,Saratov,USSR,RU,Moscow,male,1956.0,chemistry,,2.0,"""for their researches into the mechanism of chemical reactions""",Institute for Chemical Physics of the Academy of Sciences of the USSR,Moscow,USSR,60,0,1
232,221,Lord (Alexander R.),Todd,1907-10-02,1997-01-10,Scotland,GB,Glasgow,United Kingdom,GB,Cambridge,male,1957.0,chemistry,,1.0,"""for his work on nucleotides and nucleotide co-enzymes""",University of Cambridge,Cambridge,United Kingdom,50,1,1
233,222,Frederick,Sanger,1918-08-13,2013-11-19,United Kingdom,GB,Rendcombe,United Kingdom,GB,Cambridge,male,1958.0,chemistry,,1.0,"""for his work on the structure of proteins, especially that of insulin""",University of Cambridge,Cambridge,United Kingdom,40,1,1
234,222,Frederick,Sanger,1918-08-13,2013-11-19,United Kingdom,GB,Rendcombe,United Kingdom,GB,Cambridge,male,1980.0,chemistry,,4.0,"""for their contributions concerning the determination of base sequences in nucleic acids""",MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,62,1,1
235,223,Jaroslav,Heyrovsky,1890-12-20,1967-03-27,Austria-Hungary (now Czech Republic),CZ,Prague,Czechoslovakia,CZ,Prague,male,1959.0,chemistry,,1.0,"""for his discovery and development of the polarographic methods of analysis""",Polarographic Institute of the Czechoslovak Academy of Science,Prague,Czechoslovakia,69,0,1
236,224,Willard Frank,Libby,1908-12-17,1980-09-08,USA,US,"Grand Valley, CO",USA,US,"Los Angeles, CA",male,1960.0,chemistry,,1.0,"""for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science""",University of California,"Los Angeles, CA",USA,52,1,1
237,225,Melvin,Calvin,1911-04-08,1997-01-08,USA,US,"St. Paul, MN",USA,US,"Berkeley, CA",male,1961.0,chemistry,,1.0,"""for his research on the carbon dioxide assimilation in plants""",University of California,"Berkeley, CA",USA,50,1,1
238,226,Max Ferdinand,Perutz,1914-05-19,2002-02-06,Austria,AT,Vienna,United Kingdom,GB,Cambridge,male,1962.0,chemistry,,2.0,"""for their studies of the structures of globular proteins""",MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,48,0,1
239,227,John Cowdery,Kendrew,1917-03-24,1997-08-23,United Kingdom,GB,Oxford,United Kingdom,GB,Cambridge,male,1962.0,chemistry,,2.0,"""for their studies of the structures of globular proteins""",MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,45,1,1
240,228,Karl,Ziegler,1898-11-26,1973-08-12,Germany,DE,Helsa,West Germany (now Germany),DE,Mülheim,male,1963.0,chemistry,,2.0,"""for their discoveries in the field of the chemistry and technology of high polymers""",Max-Planck-Institut für Kohlenforschung (Max-Planck-Institute for Carbon Research),Mülheim/Ruhr,Federal Republic of Germany,65,0,1
241,229,Giulio,Natta,1903-02-26,1979-05-02,Italy,IT,Imperia,Italy,IT,Bergamo,male,1963.0,chemistry,,2.0,"""for their discoveries in the field of the chemistry and technology of high polymers""",Institute of Technology,Milan,Italy,60,0,1
242,230,Dorothy Crowfoot,Hodgkin,1910-05-12,1994-07-29,Egypt,EG,Cairo,United Kingdom,GB,Shipston-on-Stour,female,1964.0,chemistry,,1.0,"""for her determinations by X-ray techniques of the structures of important biochemical substances""","University of Oxford, Royal Society",Oxford,United Kingdom,54,0,0
243,231,Robert Burns,Woodward,1917-04-10,1979-07-08,USA,US,"Boston, MA",USA,US,"Cambridge, MA",male,1965.0,chemistry,,1.0,"""for his outstanding achievements in the art of organic synthesis""",Harvard University,"Cambridge, MA",USA,48,1,1
244,232,Robert S.,Mulliken,1896-06-07,1986-10-31,USA,US,"Newburyport, MA",USA,US,"Arlington, VA",male,1966.0,chemistry,,1.0,"""for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method""",University of Chicago,"Chicago, IL",USA,70,1,1
245,233,Manfred,Eigen,1927-05-09,,Germany,DE,Bochum,,,,male,1967.0,chemistry,,2.0,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy""",Max-Planck-Institut für Physikalische Chemie,Göttingen,Federal Republic of Germany,40,0,1
246,234,Ronald George Wreyford,Norrish,1897-11-09,1978-06-07,United Kingdom,GB,Cambridge,United Kingdom,GB,Cambridge,male,1967.0,chemistry,,4.0,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy""",Institute of Physical Chemistry,Cambridge,United Kingdom,70,1,1
247,235,George,Porter,1920-12-06,2002-08-31,United Kingdom,GB,Stainforth,United Kingdom,GB,Canterbury,male,1967.0,chemistry,,4.0,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy""",Royal Institution of Great Britain,London,United Kingdom,47,1,1
248,236,Lars,Onsager,1903-11-27,1976-10-05,Norway,NO,Kristiania (now Oslo),USA,US,"Coral Gables, FL",male,1968.0,chemistry,,1.0,"""for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes""",Yale University,"New Haven, CT",USA,65,0,1
249,237,Derek H. R.,Barton,1918-09-08,1998-03-16,United Kingdom,GB,Gravesend,USA,US,"College Station, TX",male,1969.0,chemistry,,2.0,"""for their contributions to the development of the concept of conformation and its application in chemistry""",Imperial College,London,United Kingdom,51,1,1
250,238,Odd,Hassel,1897-05-17,1981-05-11,Norway,NO,Kristiania (now Oslo),Norway,NO,Oslo,male,1969.0,chemistry,,2.0,"""for their contributions to the development of the concept of conformation and its application in chemistry""",University of Oslo,Oslo,Norway,72,0,1
251,239,Luis F.,Leloir,1906-09-06,1987-12-02,France,FR,Paris,Argentina,AR,Buenos Aires,male,1970.0,chemistry,,1.0,"""for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates""",Institute for Biochemical Research,Buenos Aires,Argentina,64,0,1
252,240,Gerhard,Herzberg,1904-12-25,1999-03-03,Germany,DE,Hamburg,Canada,CA,Ottawa,male,1971.0,chemistry,,1.0,"""for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals""",National Research Council of Canada,Ottawa,Canada,67,0,1
253,241,Christian B.,Anfinsen,1916-03-26,1995-05-14,USA,US,"Monessen, PA",USA,US,"Randallstown, MD",male,1972.0,chemistry,,2.0,"""for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation""",National Institutes of Health,"Bethesda, MD",USA,56,1,1
254,242,Stanford,Moore,1913-09-04,1982-08-23,USA,US,"Chicago, IL",USA,US,"New York, NY",male,1972.0,chemistry,,4.0,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule""",Rockefeller University,"New York, NY",USA,59,1,1
255,243,William H.,Stein,1911-06-25,1980-02-02,USA,US,"New York, NY",USA,US,"New York, NY",male,1972.0,chemistry,,4.0,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule""",Rockefeller University,"New York, NY",USA,61,1,1
256,244,Ernst Otto,Fischer,1918-11-10,2007-07-23,Germany,DE,Munich,Germany,DE,Munich,male,1973.0,chemistry,,2.0,"""for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds""",Technical University,Munich,Federal Republic of Germany,55,0,1
257,245,Geoffrey,Wilkinson,1921-07-14,1996-09-26,United Kingdom,GB,Todmorden,United Kingdom,GB,London,male,1973.0,chemistry,,2.0,"""for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds""",Imperial College,London,United Kingdom,52,1,1
258,246,Paul J.,Flory,1910-06-19,1985-09-08,USA,US,"Sterling, IL",USA,US,"Big Sur, CA",male,1974.0,chemistry,,1.0,"""for his fundamental achievements, both theoretical and experimental, in the physical chemistry of the macromolecules""",Stanford University,"Stanford, CA",USA,64,1,1
259,247,John Warcup,Cornforth,1917-09-07,2013-12-08,Australia,AU,Sydney,,,,male,1975.0,chemistry,,2.0,"""for his work on the stereochemistry of enzyme-catalyzed reactions""",University of Sussex,Brighton,United Kingdom,58,1,1
260,248,Vladimir,Prelog,1906-07-23,1998-01-07,Austria-Hungary (now Bosnia and Herzegovina),BA,Sarajevo,Switzerland,CH,Zurich,male,1975.0,chemistry,,2.0,"""for his research into the stereochemistry of organic molecules and reactions""",Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,69,0,1
